,Body_wall_muscle,Glia,Gonad,Hypodermis,Neurons,Pharynx
RC02088_X,0.01,0.01,0.01,0.01,0.01,0.01
RC02090_I,0,-2.05E-12,-2.05E-12,-2.05E-12,0,-2.05E-12
RC02090_X,-0.001202206,0.01,0.01,0.01,0.01,-0.001202206
RC02093_I,0.012232668,0.002232668,-0.007767332,0.012232668,0.01,0.012232668
RC02093_X,-0.01,0,0.01,-0.01,-0.01,-0.01
RC02094_I,0.012232668,0.002232668,-0.007767332,0.012232668,0.01,0.012232668
RC02094_X,-0.01,0,0.01,-0.01,-0.01,-0.01
RC02098_I,0,0,0,0,0,0
RC02098_X,0,0,0.01,0.01,0,0.01
RC02099_I,0,0,0,0,0,0
RC02099_X,0,0.01,0.01,0.02,0,0
RC02100_I,0,0,0,0,0,0
RC02100_X,0.01,-2.96E-12,0.01,0.01,0.01,0.01
RC02101_I,0,0,0,0,0,0
RC02101_X,0,0,0.01,0.01,0,0
RC02102_I,0,0,0,0,0,0
RC02102_X,0.01,0.01,0.01,0.01,0.01,0
