Row,Hypodermis,Gonad,Glia,Pharynx,Body_wall_muscle,Neurons
RM03778_I,0.00696649822067214,0.0130233665234763,0.0207339936121879,0.036979902444855,0.0555470051753033,-0
RM03778_X,0.00999999999999091,0.000167230159677668,0.000851552017187999,0.00370834702970631,0.0214867789176539,0.0037067664227522
RM03815_I,0,0,0,0,0,0
RM03815_X,0,-0.00999999999999091,0,0,0,0
RM03856_I,2.71202197466778,0,11.6116164280752,2.72176539435706,0,0
RM03856_X,0.01,0,0,0,0,0
RM03857_I,2.71898847288845,0.0130233665234763,11.6323504216874,2.75874529680192,0.0555470051753033,0
RM03857_X,0.0199999999999909,0.000167230159677668,0.000851552017187999,0.00370834702970631,0.0214867789176539,0.0037067664227522
RM03858_I,0.00696649822067214,0.0130233665234763,0.0207339936121879,0.036979902444855,0.0555470051753033,-0
RM03858_X,0.00999999999999091,0.000167230159677668,0.000851552017187999,0.00370834702970631,0.0214867789176539,0.0037067664227522
RM03905_I,0,0,0,0,0,0
RM03905_X,0.0183266791924469,0.0183266791924419,0.0183266791909399,0.0183266791924405,0.0183266792749704,0.0183266791924469
RM03989_I,2.71202197466778,2.94199457285007,0,0,0,5.45851951316868
RM03989_X,0,0,0,0,0,0
RM03990_I,2.71898847288845,2.95501793937354,0.0207339936121879,0.036979902444855,0.0555470051753033,5.45851951316868
RM03990_X,0.00999999999999091,0.000167230159677668,0.000851552017187999,0.00370834702970631,0.0214867789176539,0.0037067664227522
RM03991_I,-0,-0,-0,-0,-0,-0
RM03991_X,0.00999999999999091,0,-0,-0,0.00999999999999091,-0
RM04096_I,0,0,0.375754585505815,0,0,0
RM04096_X,0.0934151955299836,0.0099999999999999,1.00023654203081e-05,0.131810320996169,0.0267045326943612,0.0907538386460055
RM04125_I,0,0,0,0,0,0
RM04125_X,0,-0.00999999999999091,0,0,0,0
RM04138_I,0,0,0.375754585505815,0,0,0
RM04138_X,0.0934151955299836,0.0099999999999999,1.00023654203081e-05,0.131810320996169,0.0267045326943612,0.0907538386460055
RM04170_I,-0.00696649822067214,-0.0130233665234763,-0.0207339936121879,-0.036979902444855,-0.0555470051753033,0
RM04170_X,-0.00999999999999091,-0.000167230159677668,-0.000851552017187999,-0.00370834702970631,-0.0214867789176539,-0.0037067664227522
RM04188_I,0,0,0,0,0,0
RM04188_X,0,0,0,0,0.00999999999999091,0
RM04203_I,0.0992213933914611,0.12848688589847,0.233476603243672,0.092125467282448,0.128204302689376,0.112849472677722
RM04203_X,0.00999999999999091,0.00999999999995538,0.01,0,0.00999999999999091,0.00999999999999091
RM04204_I,0.0992213933914611,0.12848688589847,0.233476603243672,0.092125467282448,0.128204302689376,0.112849472677722
RM04204_X,0.00999999999999091,0.00999999999995538,0.01,0,0.00999999999999091,0.00999999999999091
RM04224_I,0.159462971073032,0.200346773271022,0,0.134562464955327,0.179935184300552,0.189466472328218
RM04224_X,0.00999999999999091,0.01,0,0.00999999999999091,0.0299999999994134,0
RM04432_I,0.268684364464493,0.328833659169492,0,0.236687932237766,0.3137287553327,0.30231594500594
RM04432_X,0.0112495310311748,0,0,0,0,0
RM04433_I,6.23463282975572,6.91326775405144,13.080377384937,6.34614895562473,7.10914797801294,6.24625289730145
RM04433_X,0.446168894379872,0.142450997950515,0.0689206658697192,0.42215940038607,1.23339603402104,0.459305198075151
RM04737_I,0,0,0,0,0,0
RM04737_X,-0.00999999999999091,-0,0,0,-0.00999999999999091,0
RM04738_I,0,0,0,0,0,0
RM04738_X,-0.00999999999999091,-0,0,0,-0.00999999999999091,0
RM04739_I,-0.00696649822067214,-0.0130233665234763,-0.0207339936121879,-0.036979902444855,-0.0555470051753033,0
RM04739_X,-0.00999999999999091,-0.000167230159677668,-0.000851552017187999,-0.00370834702970631,-0.0214867789176539,-0.0037067664227522
RM04740_I,-0.00696649822067214,-0.0130233665234763,-0.0207339936121879,-0.036979902444855,-0.0555470051753033,0
RM04740_X,-0.00999999999999091,-0.000167230159677668,-0.000851552017187999,-0.00370834702970631,-0.0214867789176539,-0.0037067664227522
RM04741_I,-0.00696649822067214,-0.0130233665234763,-0.0207339936121879,-0.036979902444855,-0.0555470051753033,0
RM04741_X,-0.00999999999999091,-0.000167230159677668,-0.000851552017187999,-0.00370834702970631,-0.0214867789176539,-0.0037067664227522
RM04742_I,0.00696649822067214,0.0130233665234763,0.0207339936121879,0.036979902444855,0.0555470051753033,-0
RM04742_X,0.00999999999999091,0.000167230159677668,0.000851552017187999,0.00370834702970631,0.0214867789176539,0.0037067664227522
RM04743_I,-0.00696649822067214,-0.0130233665234763,-0.0207339936121879,-0.036979902444855,-0.0555470051753033,0
RM04743_X,-0.00999999999999091,-0.000167230159677668,-0.000851552017187999,-0.00370834702970631,-0.0214867789176539,-0.0037067664227522
RM04744_I,-0.00696649822067214,-0.0130233665234763,-0.0207339936121879,-0.036979902444855,-0.0555470051753033,0
