wbid	Neurons	Gonad	Hypodermis	Pharynx	Body_wall_muscle	Glia	Intestine
WBGene00000107	12.6603115643	97.3915604231	49.2252843339	21.3278115461	78.8441581457	10.7647581106	221.928244116
WBGene00000108	2.67258719752	0.0	0.239636991072	0.0	0.0989033595493	1.89271164065	0.890537769043
WBGene00000109	13.6295658902	84.1086979787	153.996855343	9.44084668638	2.8003338104	10.8269274858	197.209834573
WBGene00000110	36.385788192	60.2905161126	36.1019148505	72.3574724271	26.5448565277	51.1400118794	144.347464781
WBGene00000111	0.651086881033	0.0	6.79401642295	0.0	0.298118982733	0.0	72.3508115357
WBGene00000112	158.958632346	86.2856083589	22.4093529729	113.528578784	196.463629129	49.6095778492	45.752115033
WBGene00000113	19.301983722	18.5289047315	15.9119795499	10.8969415282	25.4833662315	5.00293371717	22.5769198492
WBGene00000114	61.4939125032	77.2775065961	95.3640842087	87.3745705164	1399.53417859	68.3174451909	474.386960928
WBGene00000115	6.59375843694	72.3581655695	49.5679954713	6.35526969521	5.78145030684	2.43543241794	15.6079832891
WBGene00000116	1.08225108225	0.4815686534	30.4864162548	0.418735920005	2.56799437538	6.88534523121	42.8131372728
WBGene00000117	70.2809906724	84.7000907762	32.7690071224	43.6970132899	19.5512105608	50.8181073631	112.147835948
WBGene00000118	3.66854100309	0.268874098984	1.42209443533	0.0	188.661861061	0.592778066263	50.8044651613
WBGene00000120	26.824358996	5.20116991615	27.9191616554	56.7144705371	20.476134839	33.0605678107	4.73733780934
WBGene00000121	13.8519334551	108.511026925	24.6788786364	8.33115650973	11.7998194642	9.82542055628	11.6491568643
WBGene00000122	110.405760376	122.970682087	73.0986378729	93.2820811207	40.0189067829	94.1533612746	69.0300635123
WBGene00000123	133.838999214	429.393753189	169.34056314	119.990547315	105.132843006	176.509103207	365.924868946
WBGene00000133	0.0	0.0426795593079	0.673385903716	0.563964898825	0.18686518476	2.58575226193	0.0
WBGene00000134	21.1197628963	0.604851131317	1.94375334224	1.82788623236	0.437780988961	8.73482958759	1.55902119235
WBGene00000135	157.045741434	0.11402717575	2.475446792	6.22896807001	0.267388394692	13.8845541841	0.0
WBGene00000136	0.34335376975	0.129667732736	0.0353982864751	2.4162371134	0.291999710197	0.749556075414	230.501613305
WBGene00000137	13.9411980423	3.45362557737	13.7056949516	13.0202288875	7.32767233383	23.5970762086	69.4584704485
WBGene00000138	26.9047505199	1.41429523691	142.207128791	636.456920203	0.961234387102	4.95290625394	9.13811838876
WBGene00000139	3.1254011391	0.304885645181	2.41551403138	0.0	0.703192223458	0.0	78.080423936
WBGene00000140	962.437286154	329.887447718	1579.40704089	1392.45199656	1864.53706102	954.279212537	4166.46660964
WBGene00000142	35.5788638276	78.7881700412	37.4291726161	17.3857842887	13.0686488204	27.3495197089	25.1197172806
WBGene00000143	20.332070285	179.114991515	22.9873052585	39.6418100202	8.17505615274	22.7359850403	36.1714640747
WBGene00000144	0.60393475572	60.0818361782	0.0	0.143303841403	0.124204529515	0.0	0.72247601199
WBGene00000145	10.5447561972	28.6492010488	6.3663482184	1.53859893827	3.45591662503	15.1302893648	2.54400741565
WBGene00000146	114.651613923	133.31880658	80.3695372854	179.040121844	192.065619985	62.4184283261	55.9155606379
WBGene00000147	15.8707525797	33.3891569896	8.14008956123	7.85642348105	6.36915803776	19.336399242	0.879887162646
WBGene00000148	67.3993583528	185.386474197	43.2921756841	30.2941377558	25.5536198003	55.6943690675	46.4078012971
WBGene00000149	2438.30437206	96.8384710526	711.908829293	2255.05240373	30.7262648082	2065.92931562	725.854583109
WBGene00000150	2.31576104537	2.76390690772	32.140278967	117.445580682	1.63774388758	87.0899558127	96.0514723556
WBGene00000151	23.8312353636	159.736902006	31.007461772	27.5087380622	16.4463809735	24.4556828415	26.3567449536
WBGene00000155	6.87176719414	130.713303993	24.7186066734	29.9368558535	24.8429007033	48.4351122485	140.918513575
WBGene00000156	92.2060868766	136.776871786	37.472046684	45.6897023911	17.5593484836	56.0867701326	18.7777324557
WBGene00000157	36.7053419767	0.816413015716	7.19296160418	10.6320065716	2.61305917676	10.1336951729	0.0
WBGene00000158	134.604030348	169.885639081	101.836122925	177.202621576	52.7697322361	147.96022901	267.854555188
WBGene00000159	23.8469881328	36.9672859929	15.0570788687	21.9015168122	6.31947568871	28.4938814532	7.19729757349
WBGene00000160	205.584552659	109.901107464	82.2748101472	111.112703609	27.8266100594	98.7604138675	167.901737489
WBGene00000161	205.983406821	8.38553369501	53.7222169868	62.2291570472	18.5232520933	65.3218480123	55.1777911192
WBGene00000162	433.585259569	242.702569598	139.781996743	123.610602205	55.2218434286	188.179516575	343.493605071
WBGene00000163	232.5759301	176.767318237	117.146136908	78.0959036961	43.5263302609	118.93453026	206.595475259
WBGene00000164	35.0590076079	2.06183621873	13.5853314723	15.8366815394	3.8004884032	8.33330632326	4.78337175206
WBGene00000165	23.8821293091	20.3002633935	7.40579606019	4.24570489065	2.86093416899	26.5749611753	5.08783920616
WBGene00000166	54.9192399912	0.0928797458067	0.61039704666	0.0	0.45739448389	2.31348097827	1.39226409636
WBGene00000168	4.22719746473	151.361374243	4.2648024871	0.730056226785	2.37383753338	1.50561555412	13.8549188201
WBGene00000169	0.37474067945	0.049171630133	8.06084570927	52.2500636794	0.0671102506616	5.30147850876	90.9986434321
WBGene00000170	576.817097991	11.7234408158	239.501037212	147.887682699	1309.16816066	1218.09163846	5.99189834322
WBGene00000171	0.0	0.55034078755	0.226949324485	0.323174869922	0.526265189499	0.0	0.0
WBGene00000172	1.47977148244	0.429846661843	3.92359866872	0.60358772544	0.983041857737	4.26258137666	25.8190042391
WBGene00000173	11.6550649356	0.278434806578	0.52221502726	0.826063970394	0.436581683997	1.37883678571	0.465735165287
WBGene00000174	3.45555878245	0.0733487903684	0.419115224206	0.661291094131	0.564290402509	0.0	0.988190139641
WBGene00000175	380.264786295	4.5928098015	58.9569493812	13.8824543631	485.226226399	669.87013369	4.75619136306
WBGene00000176	0.939454064454	0.0393719930871	11.3171719819	0.0	0.352152197694	0.0	0.0
